Username,Pro Name,Role,Region
pElYPvyytt9-I4irsQfnX29Rffer57U_zCF-fOYnNPzXpO4oc8mAV196CPp6wI-OCpQu3217ujArNQ,GIDEON,JG,KR
KbQztlj6MRYhMZvFaAGVfKr0tV_tgUSs_aUB-uCnUMe6cAdSWoaWm4RIq70s6nMOI89wQXZSj805Ug,GIDEON,JG,KR
5Gzl2ctcrJ3SmVmOjIPXr5N9j8qeSeJpbQYH65W2DsTvqRdMutCxbTLeYHFGggzzCrAfy8YhA9d0WQ,Taeyoon,ADC,KR
t-AofO9pQKa3klsrJif0j8Bik0LlSzCw5QeF5lWa2G2fExsy9DkHuMv_sk9V1kHHzsa9T6WznLUdHQ,Hena,ADC,KR
nLrufFGvEa1uXosVsZadPi3oGJGX0U9-pDbhip5svDv7PswY91RU-txzxW2JdxGT0RE-Sd3n7Wqrng,Oner,JG,KR
Lt8S75sDpbeQmf1httVXDDMcKbWmsqUw4wFdHb_FznR-z4_pnr4ZXs58vc7HIHrrcBmy4ixOi4kLqg,Canyon,JG,KR
uVmosjPP2L9KWxmYGiA-5oBpyBCaFRToOcvaTGcWixaUWHMSwl62CETXMbIp65blsIJm6bO28ZXlhQ,Canyon,JG,KR
KEAn8cWAlO6Wlc5dxZxxW1p87GwrAENGrhzgRdrTxTaVwmswq6izy_JgWKc71KtIGG_tR0g_uRaDMQ,Kiin,TOP,KR
u2QnoMD91VhY0C8Mon3OG-lr4VWIfRoLgCb8RGxjIjQKT3ScKg5lVD7ekIAYaf_-YmNLqE1YDgCERw,Kiin,TOP,KR
mfazOzusQR-yLDNlD906fKxo4qQWAf8yfoxFJsN9Hpkta3CVTtSxUDSPw9MCQlGLQo0rUjEaefES7Q,Gumayusi,ADC,KR
aSj7kZYGjfiiZfwl_umHg1HjaYxPZGXH61pRVe_1UHQDPlgJCYCmbqmFxTSPOJP8ekiwpB1agVkd6A,Delight,SUP,KR
lPjcwsSPfucztsytFYfqVOZi0986Kbx5zgJxEO7ZUHbEgyr1WKgaUVQuNLJIdAmNiarcesIVxPGtPA,Morgan,TOP,KR
lforXAi6IT28ykp4F-kzm3MgV4YFcU1EsgoP2vJleRJDDAnFF8wOoUizPjOdl2sFs_1PJaLk2TthjQ,ShowMaker,MID,KR
QVRdoHJITAciggbhHKiYVtW4rWLg6Moz5ik6tIaTX4klaE5kVl7WtX0G4yyyNYjyDAn2wNfgjzkspA,ShowMaker,MID,KR
Xk8yKcm9I1q_9LWKOoYmN-Emva2hSy-3D_t_CC_Sb6C8cm5NayS2LNduXyhGzv5_fGepxKvww1e-4A,Bdd,MID,KR
--fBRz0t8SG8lSzuUVNyRBOrWln92ZqQW8V9jGEAdkPj6nK051l4B3r0DnOeOGFNLC2zAMQO6niQlg,SamD,ADC,KR
yT5nTA1pWLGZndXgVwFpXLddBsxUc6m2w-ug4-GGA1jQhZc7sSMx4vlIpzCw9ajsalg41bQt-Wc-Tw,Vsta,SUP,KR
RQYJ8yBb3yNxzfYpDAt2ElpWmS7gOY54BzRH7BnRLTQtNbFJP4nUamPami0tlz-_7Zf9tojac72-jw,Ruler,ADC,KR
BlHH9pg46VXcVbrdLkY04FOVKnlXHL31MBC_TbK54wOF68NibKpe7gJwev0b5dbLsPto-JggaKVpVg,Karis,MID,KR
qfHUAYNZomCfTu7fXCZdHrw9gWbGRsPVZdFMrFJHK1EpnsCwHRu-vJSJi8ZJ8MmWkUXi7TsfHlMvPw,Hoit,SUP,KR
L1OqcMAtgl35T5w-FbmARB-fLbvoTiBzdxzcfoRnXdo7XkULtvhEzD-ffmVJT7y0J72dFx4bOThqvw,Kael,SUP,KR
bLW44HjI1mwPTdd9ZLnDYlCHtuq2v3cy7vw-8SqXP295MkxXUNzR-5hYO84hjKVSBd2lCbEG4KXNrg,VicLa,MID,KR
JrrEc_K7TEIEJXIMBdmfV7h2L1swCBC8c1Wg5BlxWg5Mvi2yNOn4PoJzyXL9IqvBOXwlWhrk6vrZWg,Viper,ADC,KR
ntDs9Ix02ZwttIBCnpvcaEp02CnuRVDN2etCsBxjPQHzu7eeGEiwceUDonJtSxGttYTa7pTkmSgxdw,Teddy,ADC,KR
Zmu7Ui7YifR77Mk5ebwV45bFN480-6rR9xFlVQTmNWUywhn0uvhhGh5ycHqU6AOe0lftLjDQNta_MA,Clid,JG,KR
